"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1259075053.589,95.999,11.946,1.08e-22,175.970,0.094,260.132385,0.000,0.000,1.000,"wItglGwebz","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/ogf04lhReQ/wItglGwebz.png",5.657
1268337602.271,118.526,10.185,8.76e-23,146.888,0.039,201.967316,0.000,0.000,1.000,"DPPPj6VGn8","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/pu7erFQDgg/DPPPj6VGn8.png",5.657
1262619813.079,95.999,10.058,9.07e-23,146.888,0.063,201.967316,0.000,0.000,1.000,"Zbn0CjhHiX","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/Yz8CW20giZ/Zbn0CjhHiX.png",5.657
1258033315.597,217.741,23.705,8.99e-23,3881.521,2.129,7732.453125,0.000,0.000,1.000,"fbhg6IqMn0","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/fLLGwgJ1iP/fbhg6IqMn0.png",5.657
1266097287.734,223.076,18.716,1.85e-22,2991.081,0.094,5842.210449,0.000,0.000,1.000,"gRxMA0IfRq","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/wcbQlrLVIj/gRxMA0IfRq.png",5.657
1259834720.762,217.741,18.308,6.52e-23,305.350,0.094,522.202942,0.000,0.000,1.000,"2iikZgrnJU","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/xj8bMPMqmS/2iikZgrnJU.png",5.657
1259644555.677,142.363,17.515,6.83e-23,451.078,0.188,830.596863,0.000,0.000,1.000,"eJ09VfKn5j","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/utNGCI4eTG/eJ09VfKn5j.png",5.657
1263825417.318,269.285,17.009,5.94e-23,684.676,0.094,1280.854858,0.000,0.000,1.000,"0v30fNAihz","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/v96pjSswYU/0v30fNAihz.png",5.657
1264780743.608,142.363,15.343,5.32e-23,377.633,0.094,645.819336,0.000,0.000,1.000,"pGDf93KHFf","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/6cEk33vwSh/pGDf93KHFf.png",5.657
1261109922.280,217.741,14.328,5.02e-23,310.588,0.047,511.728302,0.000,0.000,1.000,"1lTwLpSqMJ","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/WyFimonxzg/1lTwLpSqMJ.png",5.657
1268844288.044,95.999,9.526,7.78e-23,152.274,0.188,191.195511,0.000,0.000,1.000,"AJLqjNkVwI","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/N9RytHWpHY/AJLqjNkVwI.png",5.657
